Domain Based Agreement Rate (15 27);

;Domains;
Agents;Domain28;Domain29;Domain30;Domain37;Domain38;Domain39;Domain41;Domain42;Domain43;Domain44;Domain45;Domain46;
SAGA;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;
AgentKN;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;
RubickAgent;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;
Boulware;0.8181818;0.90909094;1.0;0.90909094;0.8181818;0.8181818;0.95454544;0.95454544;0.90909094;0.90909094;0.8636364;0.95454544;
Conceder;0.8181818;0.8636364;0.90909094;0.90909094;0.8181818;0.8181818;0.95454544;0.95454544;0.90909094;0.90909094;0.8636364;0.90909094;
Hybrid;0.6818182;0.8181818;0.95454544;0.77272725;0.8181818;0.54545456;0.6818182;0.6363636;0.8181818;0.8181818;0.6363636;0.90909094;
PonPoko;0.54545456;0.6818182;0.59090906;0.6818182;0.8181818;0.5;0.6363636;0.6363636;0.6363636;0.6818182;0.59090906;0.72727275;
MiCRO;0.6818182;0.59090906;0.6363636;0.6363636;0.72727275;0.5;0.6363636;0.6363636;0.6818182;0.6818182;0.6363636;0.6818182;
YXAgent;0.54545456;0.59090906;0.6363636;0.72727275;0.77272725;0.45454547;0.6363636;0.59090906;0.6363636;0.6363636;0.54545456;0.72727275;
Kawaii;0.59090906;0.54545456;0.6363636;0.72727275;0.8181818;0.45454547;0.5;0.54545456;0.6818182;0.6363636;0.5;0.6818182;
CUHKAgent;0.27272728;0.36363637;0.77272725;0.36363637;0.27272728;0.27272728;0.4090909;0.45454547;0.45454547;0.36363637;0.36363637;0.90909094;
Atlas3;0.3181818;0.36363637;0.5;0.36363637;0.3181818;0.27272728;0.5;0.4090909;0.27272728;0.36363637;0.27272728;0.4090909;
