Domain Based Agreement Time (0 15);

;Domains;
Agents;Domain5;Domain6;Domain7;Domain9;Domain10;Domain11;Domain12;Domain13;Domain14;Domain21;Domain22;Domain23;Domain25;Domain26;Domain27;
CUHKAgent;0.9984591;0.9984318;0.9984818;0.99848634;0.9731591;0.9731864;0.99846363;0.99874544;0.99033636;0.9984091;0.9981318;0.97458637;0.98071367;0.94655;0.9599682;
RubickAgent;0.9852273;0.9885455;0.98617274;0.9838909;0.98722273;0.9904682;0.9926409;0.99360454;0.9911591;0.9911682;0.9534227;0.9553409;0.9679773;0.9615591;0.9788727;
Atlas3;0.98315;0.9868409;0.98318183;0.9711318;0.96701366;0.97635454;0.9887364;0.9877;0.9605227;0.9857727;0.95277274;0.94833636;0.9637409;0.95397276;0.9780909;
SAGA;0.93831366;0.9360773;0.93355;0.9369136;0.92524546;0.93610907;0.9472682;0.94476366;0.9358591;0.94297725;0.84025455;0.88746816;0.90233636;0.8948182;0.9233591;
Kawaii;0.95352274;0.9529273;0.9471909;0.93830454;0.9412136;0.9393;0.9632591;0.9576909;0.9540091;0.9645182;0.7883591;0.85080457;0.87863183;0.83581364;0.9222136;
PonPoko;0.95768636;0.93197274;0.9215909;0.92067724;0.93936366;0.9319773;0.9523;0.94225454;0.9428;0.96145;0.6507818;0.71397275;0.8111727;0.74218637;0.8735773;
AgentKN;0.88908637;0.88859546;0.8862091;0.88295;0.8786727;0.88048637;0.90508634;0.9062091;0.89614093;0.9107364;0.7839;0.8019;0.83240455;0.80638635;0.8534273;
YXAgent;0.9213273;0.9120727;0.9089591;0.91065454;0.87664545;0.86543185;0.93183637;0.92968637;0.9184545;0.94084543;0.5219455;0.64340454;0.7818091;0.62905;0.8329;
MiCRO;0.8393818;0.90959543;0.8730409;0.8352864;0.9023682;0.86694545;0.8952409;0.8956136;0.9308318;0.87061363;0.6471818;0.6376591;0.7785182;0.6666682;0.82240456;
Hybrid;0.84348184;0.8810727;0.85574543;0.83502275;0.84387726;0.80727726;0.90458184;0.8897045;0.87424093;0.88117725;0.52888185;0.5109364;0.5688591;0.55863184;0.7183727;
Boulware;0.78815;0.7852091;0.7638636;0.73981816;0.7543182;0.74655;0.8240091;0.79002273;0.79147726;0.8036636;0.5737409;0.5931091;0.64158183;0.61248636;0.68049544;
Conceder;0.69685;0.69105;0.6583046;0.6508273;0.6439;0.6479682;0.7119045;0.7077591;0.7059409;0.7317227;0.4919727;0.49935454;0.54682726;0.47795;0.5846364;
