Domain Based Agreement Time (15 27);

;Domains;
Agents;Domain28;Domain29;Domain30;Domain37;Domain38;Domain39;Domain41;Domain42;Domain43;Domain44;Domain45;Domain46;
CUHKAgent;0.9979454;0.9503136;0.9773545;0.9889864;0.99735;0.99813634;0.9712318;0.99160457;0.9545636;0.9812318;0.9818227;0.9521409;
RubickAgent;0.9771818;0.9667409;0.98129547;0.97516817;0.9682773;0.9914273;0.95398635;0.98179543;0.9778682;0.96530455;0.97974545;0.97801363;
Atlas3;0.9726318;0.9753591;0.95715;0.97532725;0.98084545;0.98411363;0.9388;0.9865091;0.9874045;0.95310456;0.9907591;0.9851818;
SAGA;0.9073909;0.89962274;0.9035364;0.92164546;0.8900773;0.93779546;0.90652275;0.9414273;0.9037182;0.90235;0.93825454;0.91587275;
Kawaii;0.92141366;0.90224546;0.8899636;0.9302318;0.8557;0.9556364;0.91513634;0.9357409;0.8940318;0.8821909;0.9367909;0.8945227;
AgentKN;0.8555818;0.8396636;0.83775;0.8565318;0.8301091;0.8894727;0.8518364;0.8608182;0.8391455;0.8097227;0.8702591;0.84312725;
PonPoko;0.8954773;0.8410318;0.88503635;0.8083591;0.7203364;0.94385;0.8270909;0.88324547;0.87816364;0.7794682;0.8889773;0.80259544;
YXAgent;0.8334454;0.83399546;0.78948635;0.7476409;0.6170545;0.9143864;0.80131364;0.79210454;0.7599273;0.7458227;0.8368;0.7731591;
MiCRO;0.75054544;0.8075909;0.78055453;0.79154545;0.71268636;0.85666364;0.7524727;0.79264545;0.76155907;0.6854636;0.80007726;0.7291545;
Hybrid;0.7501;0.6600636;0.6312818;0.6517636;0.5777818;0.85463184;0.7290773;0.7500318;0.6962864;0.5917636;0.7895045;0.63847274;
Boulware;0.7065955;0.6473864;0.6789227;0.70155454;0.6572591;0.7808273;0.6711818;0.71916366;0.6572318;0.64375454;0.72495455;0.65575;
Conceder;0.6193909;0.56319547;0.59661365;0.6149;0.55346817;0.69767725;0.54460454;0.60680455;0.55987275;0.5272318;0.6183182;0.56686366;
