Domain Based Individual Utility (0 15);

;Domains;
Agents;Domain5;Domain6;Domain7;Domain9;Domain10;Domain11;Domain12;Domain13;Domain14;Domain21;Domain22;Domain23;Domain25;Domain26;Domain27;
CUHKAgent;0.8182727;0.81363636;0.79713637;0.77745456;0.79718184;0.8069636;0.8371591;0.7607591;0.71672726;0.83976364;0.8672364;0.8758409;0.8653727;0.85593635;0.83105;
YXAgent;0.7420955;0.73136365;0.7569818;0.7264909;0.75545454;0.75081366;0.74468184;0.74436367;0.7349091;0.7179818;0.8027909;0.80767274;0.7578682;0.8502955;0.7873682;
Kawaii;0.72287273;0.7292727;0.71448183;0.71473634;0.7269091;0.7382591;0.7161591;0.71726364;0.74881816;0.7326818;0.8583318;0.8432364;0.7662;0.8616727;0.7607273;
MiCRO;0.68951815;0.7352727;0.7621818;0.73935455;0.7340909;0.7437182;0.6954045;0.70174545;0.7608182;0.71292275;0.8486636;0.83088183;0.7999955;0.84007275;0.7512091;
PonPoko;0.7616;0.71236366;0.7091454;0.71836364;0.74054545;0.76357275;0.72843635;0.7052091;0.7259091;0.7402046;0.8009273;0.8118591;0.7876409;0.8205227;0.76426363;
Atlas3;0.64730453;0.61463636;0.6545;0.68668634;0.7112727;0.68435454;0.6288546;0.6562182;0.71245456;0.6432773;0.7737954;0.7832136;0.7580636;0.78042275;0.72446364;
Hybrid;0.6859409;0.65263635;0.6596364;0.6677409;0.6370909;0.6838273;0.6684909;0.6551727;0.6372727;0.6970818;0.7417773;0.7497227;0.71780455;0.76436365;0.7097545;
AgentKN;0.6341318;0.6407273;0.63403636;0.65018183;0.68945456;0.6776773;0.5944227;0.61269546;0.6348182;0.6016273;0.7964227;0.7838227;0.7477091;0.7848091;0.71420455;
SAGA;0.5915318;0.64745456;0.64931816;0.6449909;0.6503636;0.63912725;0.59644544;0.58481365;0.62054545;0.5793545;0.8088318;0.81968635;0.72621363;0.78514546;0.7089273;
RubickAgent;0.59955454;0.60718185;0.5890273;0.57554543;0.59654546;0.60829544;0.5801091;0.5792818;0.6370909;0.5879318;0.75382274;0.70343184;0.7164818;0.6534455;0.6695773;
Boulware;0.5663364;0.57272726;0.58439094;0.6074;0.60054547;0.60582274;0.5256182;0.5643227;0.56472725;0.54280454;0.69670457;0.72441816;0.6791546;0.69878185;0.65301365;
Conceder;0.53171366;0.53672725;0.5537;0.5631818;0.56472725;0.5650455;0.51863635;0.5292818;0.5311818;0.50700456;0.6639909;0.67353636;0.6291409;0.67306817;0.59843636;
