Domain Based Opponent Utility (15 27);

;Domains;
Agents;Domain28;Domain29;Domain30;Domain37;Domain38;Domain39;Domain41;Domain42;Domain43;Domain44;Domain45;Domain46;
Conceder;0.88671815;0.89230454;0.86936367;0.90245456;0.8803727;0.8512682;0.8846;0.87578183;0.8913;0.8796545;0.86295456;0.88478637;
Boulware;0.8645273;0.86987275;0.87019545;0.87737274;0.8602273;0.8325046;0.85842276;0.8585409;0.8652318;0.85535455;0.84229094;0.8707682;
AgentKN;0.83256364;0.8054364;0.80996364;0.82571816;0.82713634;0.7895273;0.82086366;0.8069091;0.80605906;0.8353636;0.8014182;0.81830907;
SAGA;0.7956091;0.78724545;0.78318185;0.7923273;0.79297274;0.76338637;0.80442274;0.7740727;0.7712182;0.80475456;0.7798909;0.76785;
Hybrid;0.71682274;0.7822545;0.8059136;0.76835454;0.8469773;0.6573;0.7971409;0.7076409;0.80390453;0.81325454;0.7407182;0.8180682;
RubickAgent;0.74445456;0.7139818;0.67916363;0.7063136;0.7308909;0.6706;0.73285455;0.7012227;0.72492725;0.74279094;0.6913818;0.67683184;
MiCRO;0.71147275;0.70730454;0.63324547;0.7436227;0.78350455;0.6605;0.64396363;0.7059591;0.72740906;0.7045409;0.6469045;0.73246366;
PonPoko;0.5729227;0.71649545;0.63711363;0.72850454;0.7554591;0.6102909;0.68368185;0.6628909;0.70074546;0.72979546;0.64983636;0.69713634;
YXAgent;0.59187275;0.6359909;0.6891136;0.6968182;0.76237726;0.56926817;0.7036727;0.64436364;0.69839543;0.71617275;0.6510773;0.70174545;
Kawaii;0.6008545;0.6504591;0.6672091;0.63069093;0.71060455;0.56339544;0.6869636;0.62076366;0.6743591;0.69845;0.6229909;0.6447045;
Atlas3;0.64048636;0.6084773;0.6029409;0.64393634;0.6505091;0.59475;0.65710455;0.6356136;0.59621364;0.6600636;0.6307727;0.61000454;
CUHKAgent;0.39982727;0.5715273;0.6277909;0.47938183;0.47383183;0.38105908;0.47121817;0.5008227;0.59025;0.54206365;0.54386365;0.69442725;
