Domain Based Product Score (0 15);

;Domains;
Agents;Domain5;Domain6;Domain7;Domain9;Domain10;Domain11;Domain12;Domain13;Domain14;Domain21;Domain22;Domain23;Domain25;Domain26;Domain27;
AgentKN;0.4921168;0.49556947;0.49541846;0.5130739;0.5495578;0.5269283;0.45525995;0.48656768;0.48509163;0.47177598;0.6735718;0.68170977;0.6201125;0.646585;0.57527316;
Boulware;0.4693994;0.4709662;0.49339816;0.50463897;0.51423746;0.5186766;0.44125652;0.4548882;0.47029963;0.43874532;0.6216417;0.64974266;0.607273;0.6208862;0.5477502;
SAGA;0.46821752;0.46186474;0.4706675;0.49647963;0.49060363;0.48526907;0.43532372;0.4251016;0.47011617;0.4529685;0.66717654;0.65415543;0.5832618;0.6338262;0.54138196;
Hybrid;0.44433048;0.4726582;0.47083408;0.4377952;0.4532182;0.46657842;0.46018687;0.45402503;0.4342378;0.4692842;0.6552628;0.65163386;0.61723995;0.6131198;0.55297196;
MiCRO;0.4643228;0.4639291;0.48294613;0.46932748;0.45320183;0.48354968;0.44125327;0.44122562;0.43657982;0.4718221;0.65462035;0.638047;0.57140267;0.65079224;0.5240217;
PonPoko;0.44512227;0.46142435;0.45631668;0.44787127;0.45557892;0.49450818;0.4246812;0.42785707;0.44882944;0.45379043;0.68529093;0.60728014;0.5774545;0.6560778;0.53852725;
YXAgent;0.44051865;0.455154;0.46498758;0.45217964;0.4826051;0.46383768;0.42359665;0.40985337;0.42985854;0.42618573;0.7036026;0.6354672;0.5401172;0.65035886;0.5569635;
Conceder;0.45320597;0.4515818;0.47602543;0.48801053;0.49659273;0.4875699;0.43777823;0.4350957;0.45552054;0.42394713;0.6026927;0.61649305;0.5706592;0.61357373;0.52243435;
Kawaii;0.44450334;0.43384546;0.45793524;0.46415266;0.43586072;0.46071747;0.4306364;0.41351146;0.43342873;0.43457752;0.6635786;0.65264654;0.5180827;0.65119183;0.5091027;
Atlas3;0.4635956;0.40238562;0.42807743;0.4206356;0.41801128;0.42795807;0.41754556;0.38229364;0.4491989;0.42555907;0.5399657;0.5514842;0.51941365;0.522073;0.43386742;
RubickAgent;0.4005509;0.42418927;0.37789756;0.3786079;0.37131673;0.4273953;0.41839156;0.41830435;0.384166;0.37741232;0.5656511;0.5345325;0.5537585;0.46814814;0.4561407;
CUHKAgent;0.34460908;0.35736364;0.36891818;0.35967273;0.45442328;0.46787855;0.3417;0.36709943;0.4166589;0.34798455;0.368752;0.49477896;0.43917558;0.55496246;0.49295273;
