Domain Based Product Score (15 27);

;Domains;
Agents;Domain28;Domain29;Domain30;Domain37;Domain38;Domain39;Domain41;Domain42;Domain43;Domain44;Domain45;Domain46;
AgentKN;0.5796061;0.5985428;0.5878166;0.5935611;0.62380403;0.5069053;0.5893596;0.565853;0.5932573;0.63591886;0.545441;0.58936673;
SAGA;0.5519103;0.56833977;0.5812128;0.5753981;0.6090786;0.4625544;0.5756312;0.5186327;0.56763774;0.61536235;0.51058656;0.56446344;
Hybrid;0.49284863;0.55680037;0.5796807;0.59543985;0.61641514;0.4599528;0.562055;0.49059287;0.5869608;0.5990088;0.5170999;0.5934094;
Boulware;0.53713787;0.5788722;0.57474405;0.5610608;0.5618364;0.47821334;0.562092;0.53793293;0.57098716;0.5904593;0.51854634;0.5749614;
MiCRO;0.5015161;0.5309699;0.52412635;0.5420322;0.6229773;0.44143078;0.527144;0.51967555;0.5657414;0.6017227;0.5297828;0.57442206;
Conceder;0.5317937;0.5503221;0.5323588;0.54213226;0.55917245;0.45630783;0.55222523;0.528865;0.5486709;0.5740982;0.5056313;0.54587835;
YXAgent;0.48296908;0.5282368;0.53396547;0.5616609;0.6188565;0.434112;0.5419784;0.5167088;0.5600028;0.56645924;0.48262912;0.55940473;
PonPoko;0.46848023;0.5437353;0.49703458;0.55213255;0.62003833;0.44713086;0.5296264;0.50186646;0.53295743;0.5749195;0.4986391;0.5644089;
Kawaii;0.4820111;0.50746804;0.51528895;0.5221539;0.6001645;0.41785184;0.5256327;0.4877521;0.5605246;0.55361044;0.49111348;0.5379101;
Atlas3;0.44557703;0.4722195;0.43992278;0.46087515;0.48939285;0.3939755;0.5066727;0.4522695;0.46236032;0.47785074;0.44175455;0.48350108;
RubickAgent;0.42541882;0.44988576;0.43785995;0.45137405;0.4704492;0.4255181;0.5070819;0.4541561;0.4615246;0.48695883;0.45341197;0.41414452;
CUHKAgent;0.36214796;0.495377;0.4910584;0.43517062;0.42123073;0.34608182;0.40933955;0.4266801;0.49130484;0.4577364;0.45221093;0.563843;
