Domain Based Social Welfare (15 27);

;Domains;
Agents;Domain28;Domain29;Domain30;Domain37;Domain38;Domain39;Domain41;Domain42;Domain43;Domain44;Domain45;Domain46;
AgentKN;1.5234046;1.5441682;1.5326773;1.5360318;1.5596546;1.4208955;1.54365;1.5034455;1.5540136;1.6011455;1.4860137;1.5421227;
Boulware;1.4895545;1.5363545;1.5329864;1.5205227;1.5226728;1.3990227;1.5169954;1.48305;1.5286227;1.5464818;1.4639727;1.5308772;
SAGA;1.4949591;1.5194091;1.521941;1.5160227;1.55195;1.36965;1.5209818;1.4467454;1.5084137;1.5720637;1.415559;1.5036955;
Conceder;1.4815727;1.5067136;1.4812546;1.5060319;1.5165045;1.3874909;1.5109318;1.4785682;1.508859;1.5326;1.4541637;1.5027137;
Hybrid;1.4091272;1.4977864;1.5254818;1.5398954;1.5732318;1.3525681;1.4990455;1.3952909;1.5344182;1.5506318;1.4374864;1.54025;
MiCRO;1.4206909;1.4445546;1.4200363;1.4496454;1.5672137;1.3240091;1.4439818;1.4237682;1.4975681;1.5421182;1.4433773;1.5117091;
YXAgent;1.3582681;1.4381636;1.4472364;1.5130545;1.57995;1.3147818;1.4650409;1.4397591;1.4885546;1.4953364;1.3845454;1.5008591;
PonPoko;1.3483864;1.4793727;1.4091364;1.4699773;1.5796454;1.33395;1.4397364;1.4161409;1.4653955;1.5061318;1.4008363;1.5049227;
Kawaii;1.3848182;1.4121591;1.4327046;1.4505364;1.5603955;1.2617;1.4379272;1.396859;1.4985228;1.4877454;1.3910455;1.4626045;
RubickAgent;1.2998409;1.3558728;1.3107091;1.38365;1.3992727;1.2704136;1.40015;1.3395182;1.3498409;1.408541;1.3662227;1.3283454;
Atlas3;1.2885455;1.35635;1.3181909;1.3717682;1.4089273;1.2470454;1.4291455;1.3438455;1.3618318;1.3620591;1.3257409;1.3962728;
CUHKAgent;1.2170955;1.3917954;1.4180363;1.3338546;1.330309;1.2061727;1.2822318;1.3221728;1.4039863;1.3596636;1.3592364;1.5098182;
