Opponent Based Agreement Rate;

;Opponent;
Agent;AgentKN;RubickAgent;SAGA;Boulware;Conceder;Hybrid;PonPoko;MiCRO;YXAgent;Kawaii;CUHKAgent;Atlas3;
AgentKN;nan;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;
RubickAgent;1.0;nan;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;
SAGA;1.0;1.0;nan;1.0;1.0;1.0;1.0;1.0;0.9814815;1.0;0.8888889;1.0;
Boulware;1.0;1.0;1.0;nan;1.0;1.0;1.0;1.0;1.0;1.0;0.4814815;0.42592594;
Conceder;1.0;1.0;1.0;1.0;nan;1.0;1.0;1.0;1.0;1.0;0.4814815;0.24074075;
Hybrid;1.0;1.0;1.0;1.0;1.0;nan;0.5925926;0.6851852;0.6111111;0.46296296;0.09259259;0.037037037;
PonPoko;1.0;1.0;1.0;1.0;1.0;0.5925926;nan;0.37037036;0.2777778;0.25925925;0.055555556;0.11111111;
MiCRO;1.0;1.0;1.0;1.0;1.0;0.6851852;0.37037036;nan;0.2962963;0.2962963;0.0;0.0;
YXAgent;1.0;1.0;0.9814815;1.0;1.0;0.6111111;0.2777778;0.2962963;nan;0.2037037;0.055555556;0.037037037;
Kawaii;1.0;1.0;1.0;1.0;1.0;0.46296296;0.25925925;0.2962963;0.2037037;nan;0.055555556;0.09259259;
CUHKAgent;1.0;1.0;0.8888889;0.4814815;0.4814815;0.09259259;0.055555556;0.0;0.055555556;0.055555556;nan;0.12962963;
Atlas3;1.0;1.0;1.0;0.42592594;0.24074075;0.037037037;0.11111111;0.0;0.037037037;0.09259259;0.12962963;nan;
