Opponent Based Opponent Utility;

;Opponent;
Agent;Conceder;Boulware;AgentKN;SAGA;Hybrid;RubickAgent;MiCRO;PonPoko;YXAgent;Kawaii;Atlas3;CUHKAgent;
Conceder;nan;0.8409852;0.9187222;0.9275778;0.76880926;0.9416722;0.7958056;0.8799148;0.8282093;0.9167648;0.8851778;0.9057222;
Boulware;0.70702964;nan;0.8868778;0.89677036;0.74859446;0.9406185;0.7949315;0.8709463;0.82666665;0.89422405;0.90777594;0.9058037;
AgentKN;0.5539944;0.6298481;nan;0.85197407;0.7480648;0.9537852;0.7902611;0.8477815;0.8220889;0.8605648;0.8527796;0.9760352;
SAGA;0.5185518;0.58443516;0.6688389;nan;0.75495553;0.93949443;0.84038705;0.82970554;0.85818887;0.8358389;0.77443516;0.9265074;
Hybrid;0.7900537;0.80581295;0.8081704;0.76810557;nan;0.5250018;0.7829852;0.764137;0.7747222;0.76283336;0.6985018;0.74455553;
RubickAgent;0.46211666;0.48259443;0.46883702;0.4155852;0.7611463;nan;0.9401037;0.8296685;0.90692776;0.8343296;0.64596665;0.9567074;
MiCRO;0.7597259;0.7606315;0.7665833;0.6421093;0.70782965;0.3839889;nan;0.72469074;0.71775925;0.68921113;0.6547056;0.63945186;
PonPoko;0.6458296;0.655537;0.6726185;0.6798852;0.69204074;0.4763574;0.69315;nan;0.7133926;0.70810926;0.65258336;0.7239444;
YXAgent;0.72124815;0.7211648;0.72452223;0.5754963;0.68006295;0.42693147;0.6654389;0.66555923;nan;0.6576259;0.65368706;0.7007537;
Kawaii;0.5674963;0.6186241;0.67737406;0.66048706;0.6596519;0.4273611;0.7003593;0.6861463;0.70566666;nan;0.6254167;0.7215093;
Atlas3;0.3692537;0.39781666;0.68743336;0.7320333;0.6161852;0.6145333;0.65027225;0.65582407;0.6800333;0.6936648;nan;0.81037223;
CUHKAgent;0.4009;0.40100557;0.36489815;0.4184685;0.5729167;0.3590389;0.6711185;0.5972018;0.6305648;0.60346854;0.44608334;nan;
