Opponent Based Product Score;

;Opponent;
Agent;AgentKN;Boulware;Hybrid;SAGA;Conceder;MiCRO;PonPoko;YXAgent;Kawaii;Atlas3;RubickAgent;CUHKAgent;
AgentKN;nan;0.5598747;0.60343647;0.5712814;0.5097594;0.6058084;0.56905633;0.5957716;0.58412117;0.58540446;0.44759768;0.35390308;
Boulware;0.5598747;nan;0.60331035;0.525677;0.5959794;0.60389847;0.5697823;0.59652305;0.5547037;0.3598603;0.45472905;0.3617689;
Hybrid;0.60343647;0.60331035;nan;0.5784405;0.60795605;0.5490472;0.52278626;0.51329076;0.49526736;0.4043092;0.3999336;0.38042966;
SAGA;0.5712814;0.525677;0.5784405;nan;0.48185563;0.5370072;0.56161267;0.48893097;0.5521276;0.5641246;0.38081363;0.36783013;
Conceder;0.5097594;0.5959794;0.60795605;0.48185563;nan;0.60388535;0.5660126;0.5977085;0.5214037;0.32395342;0.43641996;0.36167234;
MiCRO;0.6058084;0.60389847;0.5490472;0.5370072;0.60388535;nan;0.48161274;0.43736717;0.45335153;0.3910184;0.36103672;0.32760486;
PonPoko;0.56905633;0.5697823;0.52278626;0.56161267;0.5660126;0.48161274;nan;0.44219482;0.46428347;0.39234662;0.39292306;0.37278375;
YXAgent;0.5957716;0.59652305;0.51329076;0.48893097;0.5977085;0.43736717;0.44219482;nan;0.42936012;0.40306997;0.3831482;0.3683839;
Kawaii;0.58412117;0.5547037;0.49526736;0.5521276;0.5214037;0.45335153;0.46428347;0.42936012;nan;0.40847325;0.35716495;0.3758477;
Atlas3;0.58540446;0.3598603;0.4043092;0.5641246;0.32395342;0.3910184;0.39234662;0.40306997;0.40847325;nan;0.39317387;0.3376109;
RubickAgent;0.44759768;0.45472905;0.3999336;0.38081363;0.43641996;0.36103672;0.39292306;0.3831482;0.35716495;0.39317387;nan;0.3376035;
CUHKAgent;0.35390308;0.3617689;0.38042966;0.36783013;0.36167234;0.32760486;0.37278375;0.3683839;0.3758477;0.3376109;0.3376035;nan;
